Region,Year,Annual,Rabi,Kharif
SOUTH INTERIOR KARNATAKA,1983,92.6,24.85833333,67.73333334
SOUTH INTERIOR KARNATAKA,1984,88.65833333,30.44166667,58.21666667
SOUTH INTERIOR KARNATAKA,1985,71.60833333,25.51666666,46.10000001
SOUTH INTERIOR KARNATAKA,1986,85.85,26.24166668,59.60833333
SOUTH INTERIOR KARNATAKA,1987,77.89166667,17.825,60.05833333
SOUTH INTERIOR KARNATAKA,1988,85.18333333,19.94166667,65.24166667
SOUTH INTERIOR KARNATAKA,1989,76.125,19.575,56.54166667
SOUTH INTERIOR KARNATAKA,1990,70.70833333,22.45833333,48.25
SOUTH INTERIOR KARNATAKA,1991,101.7666667,35.45000001,66.31666667
SOUTH INTERIOR KARNATAKA,1992,100.0833333,31.45000001,68.64166667
SOUTH INTERIOR KARNATAKA,1993,86.50833333,20.41666667,66.09166666
SOUTH INTERIOR KARNATAKA,1994,96.48333333,27.36666667,69.10833333
SOUTH INTERIOR KARNATAKA,1995,73.6,15.87499999,57.725
SOUTH INTERIOR KARNATAKA,1996,87,25.81666667,61.19166667
SOUTH INTERIOR KARNATAKA,1997,98.33333333,23.45000001,74.89166667
SOUTH INTERIOR KARNATAKA,1998,92.775,19.80833333,72.94166668
SOUTH INTERIOR KARNATAKA,1999,95.8,25.75833333,70.05000001
SOUTH INTERIOR KARNATAKA,2000,100.6,24.19166667,76.41666667
SOUTH INTERIOR KARNATAKA,2001,77.19166667,20.95833333,56.24166667
SOUTH INTERIOR KARNATAKA,2002,62.98333333,20.45,42.53333334
SOUTH INTERIOR KARNATAKA,2003,63.56666667,15.71666667,47.84166667
SOUTH INTERIOR KARNATAKA,2004,94.45,39.775,54.68333333
SOUTH INTERIOR KARNATAKA,2005,109.9416667,25.30833333,84.63333333
SOUTH INTERIOR KARNATAKA,2006,85.875,30.93333333,54.94166667
SOUTH INTERIOR KARNATAKA,2007,102.5833333,27.87499999,74.70833333
SOUTH INTERIOR KARNATAKA,2008,95.05,30.95,64.1
SOUTH INTERIOR KARNATAKA,2009,96.53333333,21.31666667,75.21666667
SOUTH INTERIOR KARNATAKA,2010,103.3083333,25.85833334,77.45833333
SOUTH INTERIOR KARNATAKA,2011,90.61666667,30.64166667,59.96666667
SOUTH INTERIOR KARNATAKA,2012,73.15,20.38333333,52.78333333
SOUTH INTERIOR KARNATAKA,2013,92.55833333,27.39166666,65.15833333
SOUTH INTERIOR KARNATAKA,2014,98.68333333,25.37500001,73.3
SOUTH INTERIOR KARNATAKA,2015,92.70833333,37.56666668,55.14166667
